broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Endothelial cell,,Coagulation Factor III,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Endomucin,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Erythropoietin R,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,IL-1 RI,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,IL-13 R alpha 1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Integrin alpha 4 beta 1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Integrin alpha 4 beta 7,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Podocalyxin,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Stabilin-1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Stabilin-2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VE-Cadherin,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VE-Statin,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD202b,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Endoglin,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,TIE-1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VEGFR,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD39,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,IB4,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Pecam1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Fabp4,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Cdh5,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VEGFR2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VEcad,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,FLT1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,TIE1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,PECAM1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,vwf,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,Nos3,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,SMActin,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,ANPEP,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,BSG,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CDH1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,ACE,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,S1PR1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,S1PR3,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,FLT4,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,ICAM1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,ICAM2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,ITGB2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,ITGB3,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,KDR,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,MCAM,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,MRC1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,NECTIN2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,SELE,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,SELP,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,SLAMF1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,TEK,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,THBD,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
