broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Corneocyte-like cell,,IL1RN,Human,Thymus,Thymus,Normal,Normal cell,Corneocyte-like cell
Corneocyte-like cell,,LYPD2,Human,Thymus,Thymus,Normal,Normal cell,Corneocyte-like cell
Corneocyte-like cell,,FXYD3,Human,Thymus,Thymus,Normal,Normal cell,Corneocyte-like cell
Cortical cell,,LY75,Human,Thymus,Thymus,Normal,Normal cell,Cortical cell
Cortical thymus epithelial cell,,EpCAM,Human,Thymus,Thymus,Normal,Normal cell,Cortical thymus epithelial cell
Cortical thymus epithelial cell,,CD45,Human,Thymus,Thymus,Normal,Normal cell,Cortical thymus epithelial cell
Cortical thymus epithelial cell,,CDR2,Human,Thymus,Thymus,Normal,Normal cell,Cortical thymus epithelial cell
Cortical thymus epithelial cell,,PTPRC,Human,Thymus,Thymus,Normal,Normal cell,Cortical thymus epithelial cell
Dendritic cell,,BATF3,Human,Thymus,Fetal thymus,Normal,Normal cell,Dendritic cell
Dendritic cell,,CLEC9A,Human,Thymus,Fetal thymus,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD11c,Human,Thymus,Thymus,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD83,Human,Thymus,Thymus,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD80,Human,Thymus,Thymus,Normal,Normal cell,Dendritic cell
Dendritic cell,,CLEC10A,Human,Thymus,Thymus,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD141,Human,Thymus,Thymus,Normal,Normal cell,Dendritic cell
Dendritic cell,,CLEC9A,Human,Thymus,Thymus,Normal,Normal cell,Dendritic cell
Dendritic cell,,THBD,Human,Thymus,Thymus,Normal,Normal cell,Dendritic cell
T cell,Early progenitor,CD7,Human,Thymus,Thymus,Normal,Normal cell,Early T cell progenitor (ETP)
T cell,Early progenitor,LYL1,Human,Thymus,Thymus,Normal,Normal cell,Early T cell progenitor (ETP)
T cell,Early progenitor,CD34,Human,Thymus,Thymus,Normal,Normal cell,Early T cell progenitor (ETP)
progenitor cell,progenitor,CD90,Human,Thymus,Thymus,Normal,Normal cell,Endodermal progenitor cell
progenitor cell,Endodermal,THY1,Human,Thymus,Thymus,Normal,Normal cell,Endodermal progenitor cell
Endothelial cell,,ACKR1,Human,Thymus,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,GJA4,Human,Thymus,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,PECAM1,Human,Thymus,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VEGFC,Human,Thymus,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,SELE,Human,Thymus,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,PROX1,Human,Thymus,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CCL21,Human,Thymus,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,APLNR,Human,Thymus,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,LYVE,Human,Thymus,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,PECAM1,Human,Thymus,Fetal thymus,Normal,Normal cell,Endothelial cell
Endothelial cell,,CDH5,Human,Thymus,Fetal thymus,Normal,Normal cell,Endothelial cell
Endothelial cell,,CDH5,Human,Thymus,Thymus,Normal,Normal cell,Endothelial cell
Endothelial cell,,PECAM1,Human,Thymus,Thymus,Normal,Normal cell,Endothelial cell
Endothelial cell,,LYVE1,Human,Thymus,Thymus,Normal,Normal cell,Endothelial cell
Epithelial cell,,KRT8,Human,Thymus,Blood vessel,Normal,Normal cell,Epithelial cell
Epithelial cell,,EPCAM,Human,Thymus,Blood vessel,Normal,Normal cell,Epithelial cell
Epithelial cell,,PBSM11,Human,Thymus,Cortical thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,LY75,Human,Thymus,Cortical thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,CD205,Human,Thymus,Cortical thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,Ivl,Human,Thymus,Epithelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,Krt10,Human,Thymus,Epithelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,Spink5,Human,Thymus,Epithelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,Epcam,Human,Thymus,Epithelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,KRT17,Human,Thymus,Fetal thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,KRT5,Human,Thymus,Fetal thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,KRT8,Human,Thymus,Fetal thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,EPCAM,Human,Thymus,Fetal thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,KRT19,Human,Thymus,Fetal thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,CLDN4,Human,Thymus,Medullary thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,AIRE,Human,Thymus,Medullary thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,KRT14,Human,Thymus,Medullary thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,FEZF2,Human,Thymus,Medullary thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,EpCAM,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,FZ4,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,WNT4,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,K8,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,NEUROD1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,DLK2,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,FOXN1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,CHGA,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,PSMB11,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,FOXI1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,CHRNA1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,AIRE,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,KRT1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,EPCAM,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,KRT14,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,MYOD1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,CD104,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,PDPN,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,PAN-CK,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,HOXB2,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,ITGB4,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Fibroblast,,PI16,Human,Thymus,Thymus,Normal,Normal cell,Fibroblast
Fibroblast,,SEMA3D,Human,Thymus,Thymus,Normal,Normal cell,Fibroblast
Fibroblast,,ALDH1A2,Human,Thymus,Thymus,Normal,Normal cell,Fibroblast
Fibroblast,,FBN1,Human,Thymus,Thymus,Normal,Normal cell,Fibroblast
Fibroblast,,COLEC11,Human,Thymus,Thymus,Normal,Normal cell,Fibroblast
Fibroblast,,GDF10,Human,Thymus,Thymus,Normal,Normal cell,Fibroblast
Fibroblast,,PDGFRA,Human,Thymus,Thymus,Normal,Normal cell,Fibroblast
Fibroblast,,S100A4,Human,Thymus,Thymus,Normal,Normal cell,Fibroblast
Fibroblast,,FAP,Human,Thymus,Thymus,Normal,Normal cell,Fibroblast
T cell,γδ,TCRγδ,Human,Thymus,Thymus,Normal,Normal cell,Gamma delta(γδ) T cell
T cell,γδ,Vγ9,Human,Thymus,Thymus,Normal,Normal cell,Gamma delta(γδ) T cell
T cell,γδ,Vδ2,Human,Thymus,Thymus,Normal,Normal cell,Gamma delta(γδ) T cell
Goblet cell,mucus production,Muc5ac,Human,Thymus,Epithelium,Normal,Normal cell,Goblet cell
Goblet cell,mucosal protection,Tff2,Human,Thymus,Epithelium,Normal,Normal cell,Goblet cell
Goblet cell,,Gp2,Human,Thymus,Epithelium,Normal,Normal cell,Goblet cell
medullary thymic epithelial cell,GP2-preferred,Cd177,Human,Thymus,Epithelium,Normal,Normal cell,GP2-preferred medullary thymic epithelial cell
medullary thymic epithelial cell,GP2-preferred,Ccl9,Human,Thymus,Epithelium,Normal,Normal cell,GP2-preferred medullary thymic epithelial cell
medullary thymic epithelial cell,GP2-preferred,Sca‐1,Human,Thymus,Epithelium,Normal,Normal cell,GP2-preferred medullary thymic epithelial cell
thymic epithelial cell,Immature,CTGF,Human,Thymus,Thymus,Normal,Normal cell,Immature cortical thymic epithelial cell
thymic epithelial cell,Immature,CCN2,Human,Thymus,Thymus,Normal,Normal cell,Immature cortical thymic epithelial cell
thymic epithelial cell,,ZBED2,Human,Thymus,Thymus,Normal,Normal cell,Immature cortical thymic epithelial cell
Thymic epithelial cell,Immature,INSM1,Human,Thymus,Thymus,Normal,Normal cell,Immature medullary thymic epithelial cell
Thymic epithelial cell,Medullary,ASCL1,Human,Thymus,Thymus,Normal,Normal cell,Immature medullary thymic epithelial cell
Immune cell,,CD7,Human,Thymus,Blood vessel,Normal,Normal cell,Immune cell
Immune cell,,CD3D,Human,Thymus,Blood vessel,Normal,Normal cell,Immune cell
Immune cell,,PTPRC,Human,Thymus,Blood vessel,Normal,Normal cell,Immune cell
Fibroblast,Intrathymic,GDF10,Human,Thymus,Thymus,Normal,Normal cell,Intrathymic fibroblast(Fb1)
Fibroblast,Fb1,COLEC11,Human,Thymus,Thymus,Normal,Normal cell,Intrathymic fibroblast(Fb1)
Fibroblast,Intrathymic,ALDH1A2,Human,Thymus,Thymus,Normal,Normal cell,Intrathymic fibroblast(Fb1)
Macrophage,,CLEC10A,Human,Thymus,Fetal thymus,Normal,Normal cell,Macrophage
Macrophage,,CD14,Human,Thymus,Fetal thymus,Normal,Normal cell,Macrophage
Macrophage,,CD16,Human,Thymus,Thymus,Normal,Normal cell,Macrophage
Macrophage,,CD14,Human,Thymus,Thymus,Normal,Normal cell,Macrophage
Macrophage,,HLA-DR,Human,Thymus,Thymus,Normal,Normal cell,Macrophage
Macrophage,,FCGR3A,Human,Thymus,Thymus,Normal,Normal cell,Macrophage
Mast cell,,HDC,Human,Thymus,Fetal thymus,Normal,Normal cell,Mast cell
Mast cell,,TPSAB1,Human,Thymus,Fetal thymus,Normal,Normal cell,Mast cell
Mast cell,,CPA3,Human,Thymus,Fetal thymus,Normal,Normal cell,Mast cell
T lymphocyte,Mature,CD57,Human,Thymus,Thymus,Normal,Normal cell,Mature cytotoxic T lymphocyte
T lymphocyte,Cytotoxic,CD57,Human,Thymus,Thymus,Normal,Normal cell,Mature cytotoxic T lymphocyte
T lymphocyte,Mature,CD45RA,Human,Thymus,Thymus,Normal,Normal cell,Mature cytotoxic T lymphocyte
T lymphocyte,Cytotoxic,CD45RA,Human,Thymus,Thymus,Normal,Normal cell,Mature cytotoxic T lymphocyte
T lymphocyte,Mature,B3GAT1,Human,Thymus,Thymus,Normal,Normal cell,Mature cytotoxic T lymphocyte
T lymphocyte,Cytotoxic,B3GAT1,Human,Thymus,Thymus,Normal,Normal cell,Mature cytotoxic T lymphocyte
thymic epithelial cell,medullary,GP2,Human,Thymus,Epithelium,Normal,Normal cell,Mature medullary thymic epithelial cell
thymic epithelial cell,medullary,Aire,Human,Thymus,Epithelium,Normal,Normal cell,Mature medullary thymic epithelial cell
Medullary cell,,CLDN4,Human,Thymus,Thymus,Normal,Normal cell,Medullary cell
Epithelial cell,Medullary thymus,EpCAM,Human,Thymus,Thymus,Normal,Normal cell,Medullary thymus epithelial cell
T cell,Memory,CD45RO,Human,Thymus,Thymus,Normal,Normal cell,Memory T cell
Mesenchymal cell,,LAMA2,Human,Thymus,Blood vessel,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,LUM,Human,Thymus,Blood vessel,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,PDGFRA,Human,Thymus,Blood vessel,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,COL1A2,Human,Thymus,Fetal thymus,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,PDGFRA,Human,Thymus,Fetal thymus,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,Pdpn,Human,Thymus,Thymus,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,PDGFRB,Human,Thymus,Thymus,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,PDGFRA,Human,Thymus,Thymus,Normal,Normal cell,Mesenchymal cell
Mesothelial cell,,MSLN,Human,Thymus,Blood vessel,Normal,Normal cell,Mesothelial cell
Mesothelial cell,,PRG4,Human,Thymus,Blood vessel,Normal,Normal cell,Mesothelial cell
Mesothelial cell,,UPK3B,Human,Thymus,Blood vessel,Normal,Normal cell,Mesothelial cell
Monocyte,,CD14,Human,Thymus,Thymus,Normal,Normal cell,Monocyte
Monocyte,,CD16,Human,Thymus,Thymus,Normal,Normal cell,Monocyte
Monocyte,,HLA-DR,Human,Thymus,Thymus,Normal,Normal cell,Monocyte
Monocyte,,FCGR3A,Human,Thymus,Thymus,Normal,Normal cell,Monocyte
Myeloid cell,,CD15,Human,Thymus,Thymus,Normal,Normal cell,Myeloid cell
Myeloid cell,,CD11c,Human,Thymus,Thymus,Normal,Normal cell,Myeloid cell
Myeloid cell,,CD68,Human,Thymus,Thymus,Normal,Normal cell,Myeloid cell
Myeloid cell,,FUT4,Human,Thymus,Thymus,Normal,Normal cell,Myeloid cell
Myeloid dendritic cell,,CD11c,Human,Thymus,Thymus,Normal,Normal cell,Myeloid dendritic cell
Myoid cell,Myoid,MYOD1,Human,Thymus,Thymus,Normal,Normal cell,Myoid cell
Myoid cell,Myoid,MYOG,Human,Thymus,Thymus,Normal,Normal cell,Myoid cell
T cell,Naive,CCR7,Human,Thymus,Thymus,Normal,Normal cell,Naive CD4+ T cell
T cell,Naive,CD45RA,Human,Thymus,Thymus,Normal,Normal cell,Naive CD4+ T cell
T cell,CD4+,CD4,Human,Thymus,Thymus,Normal,Normal cell,Naive CD4+ T cell
T cell,Naive,CD27,Human,Thymus,Thymus,Normal,Normal cell,Naive CD8+ T cell
T cell,Naive,CCR7,Human,Thymus,Thymus,Normal,Normal cell,Naive CD8+ T cell
T cell,Naive,CD45RA,Human,Thymus,Thymus,Normal,Normal cell,Naive CD8+ T cell
T cell,CD8+,CD27,Human,Thymus,Thymus,Normal,Normal cell,Naive CD8+ T cell
T cell,CD8+,CCR7,Human,Thymus,Thymus,Normal,Normal cell,Naive CD8+ T cell
T cell,CD8+,CD45RA,Human,Thymus,Thymus,Normal,Normal cell,Naive CD8+ T cell
Neuroendocrine cell,Neuroendocrine,CHGA,Human,Thymus,Thymus,Normal,Normal cell,Neuroendocrine cell
Neuroendocrine cell,Neuroendocrine,NEUROD1,Human,Thymus,Thymus,Normal,Normal cell,Neuroendocrine cell
Pericyte,,MCAM,Human,Thymus,Blood vessel,Normal,Normal cell,Pericyte
Pericyte,,CSPG4,Human,Thymus,Blood vessel,Normal,Normal cell,Pericyte
Pericyte,,PDGFRB,Human,Thymus,Blood vessel,Normal,Normal cell,Pericyte
